"SubjectId";"BusinessTrip";"PartySize";"Age25_44";"Age45_54";"Age55";"Income";"Female";"Undergraduate";"Posgraduate";"AirlineFirstFlight_1";"AirlineFirstFlight_2";"AirlineFirstFlight_3";"AirlineSecondFlight_3";"TripTimeHours_1";"TripTimeHours_2";"TripTimeHours_3";"Legroom12";"Legroom13";"Legroom14";"Legroom22";"Legroom23";"Legroom24";"Legroom32";"Legroom33";"Legroom34";"Fare_1";"Fare_2";"Fare_3";"StopPenaltyHours_2";"StopPenaltyHours_3";"IncomeDummy";"DiffTime1";"DiffTime2";"DiffTime3";"Choice"
1;0;2;1;0;0;92,5;0;1;0;5;6;3;2;4,61667;6,11667;5,61667;1;0;0;0;1;0;0;0;1;835;835;730;1;0,5;1;2,61666666666667;6,11666666666667;5,61666666666667;3
2;0;1;1;0;0;112,5;0;1;0;3;4;5;1;2,53333;3,53333;4,53333;1;0;0;1;0;0;0;1;0;315;315;350;0,5;1,5;0;1,03333333333333;9,53333333333333;7,53333333333333;2
3;0;2;1;0;0;60;0;1;0;5;9;2;6;2,53333;4,53333;5,03333;0;1;0;0;0;0;0;0;1;195;160;170;1,5;2;1;7,51666666666667;9,01666666666667;12,0166666666667;2
4;0;2;0;0;1;162,5;1;1;0;4;3;7;6;0,966667;3,46667;1,96667;0;1;0;0;1;0;0;0;0;135;125;140;2;0,5;0;7,5;7,5;1,5;3
6;1;1;1;0;0;70;1;1;0;3;6;6;3;4,56667;6,06667;6,56667;0;1;0;0;0;0;0;0;1;400;330;400;1;1,5;1;16,75;10,75;16,75;1
8;0;1;0;0;1;50;0;1;0;5;2;4;5;3,13333;5,63333;5,63333;1;0;0;1;0;0;0;1;0;355;355;475;2;2;1;0,133333333333333;3,63333333333333;2,63333333333333;1
9;0;3;1;0;0;112,5;0;1;0;7;2;6;4;4,98333;5,98333;7,48333;0;0;1;1;0;0;0;0;1;665;520;550;0,5;2;0;4;3;4;2
12;0;1;0;0;0;40;1;1;0;7;4;1;3;4,3;6,8;5,3;0;0;0;0;0;1;0;0;1;375;450;395;2;0,5;1;4;2,5;10;1
13;1;1;1;0;0;112,5;1;0;1;7;1;2;5;4,23333;6,23333;5,73333;1;0;0;0;1;0;0;0;1;565;485;620;1,5;1;0;5,73333333333333;6,23333333333333;7,23333333333333;1
14;1;1;1;0;0;80;1;1;0;11;5;6;1;1,85;3,35;2,85;0;1;0;1;0;0;0;1;0;380;460;380;1;0,5;1;3;3;1,5;1
16;0;2;1;0;0;137,5;0;1;0;7;7;7;4;2,58333;5,08333;4,08333;0;0;0;0;1;0;1;0;0;405;370;370;2;1;0;2,25;0,75;2,25;2
18;0;2;1;0;0;92,5;1;0;1;2;4;6;2;2,51667;5,01667;3,51667;1;0;0;1;0;0;1;0;0;185;145;195;2;0,5;1;8;5;11;1
19;0;2;1;0;0;137,5;0;0;1;5;2;2;3;1,96667;3,46667;2,96667;0;0;1;0;0;1;0;0;0;240;200;220;1;0,5;0;5;9,5;0,5;3
20;0;4;0;1;0;40;0;1;0;6;5;1;7;5,33333;7,83333;7,83333;0;1;0;0;1;0;0;0;1;975;720;765;2;2;1;14;14;15;1
21;0;1;0;0;1;10;0;0;0;1;5;1;5;1,95;3,95;3,95;0;0;0;0;0;0;0;1;0;340;340;370;1,5;1,5;1;0,75;5,25;0,75;2
22;0;1;0;1;0;50;1;0;1;6;4;2;6;5,61667;8,11667;7,61667;0;0;1;1;0;0;0;0;1;340;265;325;2;1,5;1;4;5,5;7;2
23;0;1;1;0;0;350;0;0;1;10;7;1;7;5,76667;8,26667;8,26667;1;0;0;1;0;0;0;1;0;775;645;610;2;2;0;3;0;4,5;2
24;0;1;0;0;0;112,5;0;0;0;6;4;4;11;2,48333;3,98333;3,98333;1;0;0;0;0;1;1;0;0;480;565;675;1;1;0;1,01666666666667;7,98333333333333;7,98333333333333;1
25;1;1;1;0;0;60;0;1;0;5;4;3;4;3,13333;5,13333;5,63333;0;0;0;1;0;0;0;0;0;365;365;280;1,5;2;1;4,86666666666667;1,86666666666667;1,36666666666667;3
26;1;1;1;0;0;50;1;0;1;2;5;7;4;5,76667;7,26667;7,76667;0;1;0;0;0;0;0;0;1;340;325;325;1;1,5;1;0;4,5;1,5;3
27;0;1;1;0;0;112,5;0;1;0;6;2;3;6;4,23333;6,23333;6,23333;1;0;0;0;1;0;0;0;0;250;315;260;1,5;1,5;0;0,5;2;9,5;1
29;0;5;1;0;0;112,5;0;0;1;6;5;10;4;2,58333;5,08333;5,08333;1;0;0;1;0;0;0;1;0;445;485;445;2;2;0;9,58333333333333;1,58333333333333;10,5833333333333;1
31;1;1;1;0;0;350;1;1;0;3;5;3;5;5,76667;6,76667;8,26667;0;0;1;1;0;0;0;0;1;305;390;325;0,5;2;0;0,516666666666667;9,01666666666667;10,5166666666667;1
33;0;1;1;0;0;92,5;1;0;1;3;1;3;1;2,23333;3,73333;4,73333;0;0;1;0;0;1;0;0;1;420;325;340;1;2;1;5,76666666666667;0,233333333333333;4,76666666666667;2
34;0;2;0;0;1;112,5;1;1;0;1;10;7;1;3,33333;5,33333;5,83333;0;0;0;1;0;0;0;0;0;375;280;330;1,5;2;0;5,5;2,5;8,5;2
35;0;5;1;0;0;112,5;0;0;1;5;5;5;2;2,58333;3,58333;4,08333;0;0;1;0;0;0;0;1;0;355;320;320;0,5;1;0;3,58333333333333;0,0833333333333333;5,08333333333333;1
36;1;1;0;1;0;350;0;0;1;6;6;2;4;5,3;6,3;6,8;0;1;0;0;1;0;0;0;0;590;590;560;0,5;1;0;4;3;2;1
37;1;4;0;0;1;80;0;0;0;4;2;5;7;4,23333;6,73333;5,73333;0;0;1;1;0;0;0;0;0;515;460;460;2;1;1;10,5;1,5;3;3
38;1;1;1;0;0;112,5;0;0;1;2;7;2;1;1,85;3,35;3,85;0;0;1;0;1;0;1;0;0;410;410;455;1;1,5;0;10,25;7,25;0,25;1
40;0;1;1;0;0;70;0;1;0;11;5;6;1;5,13333;6,63333;6,13333;0;1;0;1;0;0;0;1;0;565;680;565;1;0,5;1;10,5;4,5;9;1
41;0;1;1;0;0;112,5;1;0;1;4;1;2;7;4,5;7;5,5;0;0;1;0;0;0;0;1;0;520;665;550;2;0,5;0;5,75;0,25;1,25;1
