"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_NonStop",0,NA,NA,NA,NA,NA,NA
"asc_1Stop",-0.963469510528066,0.181551128095058,-5.30687702487645,1.11519359302648e-07,0.183754196751584,-5.24325173280572,1.57771051556566e-07
"asc_1StopChange",-1.25710739338909,0.180991451408897,-6.94567275748852,3.76654263334331e-12,0.184582104350564,-6.81055944080877,9.72200098203757e-12
"mu_log_StopPenaltyHours",-0.603784296536873,0.48469932532695,-1.24568833705224,0.212878837065115,0.503494991933657,-1.19918630018157,0.230455513060536
"sigma_log_StopPenaltyHours",-3.75654344993083,0.672575401537687,-5.58531198337371,2.33281045591838e-08,0.700069369916717,-5.36595887687205,8.05202873266353e-08
"b_Fare",-0.0357907951886887,0.00232829846401704,-15.372082119978,0,0.00299785332376699,-11.9388079813442,0
"b_Legroom2",0.528175497550995,0.134950327684125,3.91385116742572,9.08356366431384e-05,0.133771163928972,3.94835091538442,7.86913977199877e-05
"b_Legroom3",0.617011371864186,0.13993200231872,4.40936570362819,1.03673825679884e-05,0.143513673682091,4.29932114504279,1.71322069935087e-05
"b_Legroom4",0.965588328615151,0.135616693649472,7.11998134323275,1.07935882454058e-12,0.142079614957481,6.79610744232463,1.07482911460011e-11
"mu_log_DiffTime",-3.07108412677195,0.367075769153339,-8.36634936121066,0,0.376922080771406,-8.14779574729794,4.44089209850063e-16
"sigma_log_DiffTime",-2.2368974403498,0.313324271625284,-7.13924085340247,9.38582545018107e-13,0.323117408597944,-6.92286265248301,4.42601510997065e-12
